[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ route_check ] --START--
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Run CheckRoute Behavior [ RunTime:0.000621s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000713s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ app_begin ] --START--
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000332s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Run CheckLang Behavior [ RunTime:0.003981s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004440s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ action_begin ] --START--
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | NOTIC: [8] Undefined offset: 1 LoginBehavior.class.php 第 23 行.
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Run Login Behavior [ RunTime:0.002075s ]
[ 2013-09-10T14:35:51+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=hour&__hash__=64d85267294e08c5c6c0bb0cc5923dff_c553b803bec1e5ff14b269ed85717e35 | INFO: Tag[ action_begin ] --END-- [ RunTime:0.002147s ]
