[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ route_check ] --START--
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run CheckRoute Behavior [ RunTime:0.000874s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000957s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ app_begin ] --START--
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000704s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run CheckLang Behavior [ RunTime:0.002686s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003499s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ action_begin ] --START--
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [8] Undefined offset: 1 LoginBehavior.class.php 第 23 行.
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run Login Behavior [ RunTime:0.001139s ]
[ 2013-09-10T14:49:31+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001176s ]
