[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ route_check ] --START--
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Run CheckRoute Behavior [ RunTime:0.000299s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ route_check ] --END-- [ RunTime:0.000356s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ app_begin ] --START--
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000174s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Run CheckLang Behavior [ RunTime:0.001110s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001333s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ action_begin ] --START--
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Run Login Behavior [ RunTime:0.000728s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000768s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ view_template ] --START--
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Run LocationTemplate Behavior [ RunTime:0.000696s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ view_template ] --END-- [ RunTime:0.000788s ]
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | INFO: Tag[ view_parse ] --START--
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | NOTIC: [8] Undefined variable: selectProductName 296ddc1ae3214b5338f7113dee2fdf66.php 第 79 行.
[ 2013-08-21T16:50:39+08:00 ] /Config/edit | NOTIC: [8] Undefined variable: Think 296ddc1ae3214b5338f7113dee2fdf66.php 第 83 行.
