[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ route_check ] --START--
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Run CheckRoute Behavior [ RunTime:0.001293s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ route_check ] --END-- [ RunTime:0.001387s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ app_begin ] --START--
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000479s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Run CheckLang Behavior [ RunTime:0.002958s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003519s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ action_begin ] --START--
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined offset: 1 LoginBehavior.class.php 第 23 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Run Login Behavior [ RunTime:0.001181s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001216s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | SQL: SELECT * FROM `stat` WHERE start_time between '2013-09-10 00:00:00' and '2013-09-11 23:59:59' and time_step='day' ORDER BY type asc,pop_id asc  [ RunTime:0.003147s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: view_total StatAction.class.php 第 33 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ view_template ] --START--
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Run LocationTemplate Behavior [ RunTime:0.001207s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ view_template ] --END-- [ RunTime:0.001239s ]
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | INFO: Tag[ view_parse ] --START--
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: selectProductName 0e81eac836b05127e8d342e505a737f9.php 第 79 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 83 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 84 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 85 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 87 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 88 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 89 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 90 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 91 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 92 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 94 行.
[ 2013-09-10T14:54:50+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-11+23%3A59%3A59&time_step=day&__hash__=5477bc163e98b9e6e4616c1199bb1bdd_517da8b5fc0ce4c440cb579039301ffa | NOTIC: [8] Undefined variable: Think 0e81eac836b05127e8d342e505a737f9.php 第 95 行.
