[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ route_check ] --START--
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Run CheckRoute Behavior [ RunTime:0.000546s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000605s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000304s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Run CheckLang Behavior [ RunTime:0.002163s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002537s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Run Login Behavior [ RunTime:0.001101s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001140s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.000723s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | SQL: SELECT COUNT(*) AS tp_count FROM `user` LIMIT 1   [ RunTime:0.000213s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | SQL: SELECT * FROM `user` ORDER BY id desc LIMIT 0,20   [ RunTime:0.000206s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ view_template ] --START--
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001127s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001167s ]
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | INFO: Tag[ view_parse ] --START--
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | NOTIC: [8] Undefined variable: selectProductName c52881e8e0eb5f2f3b18504de7b757ee.php 第 79 行.
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | NOTIC: [8] Undefined variable: Think c52881e8e0eb5f2f3b18504de7b757ee.php 第 83 行.
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | NOTIC: [8] Undefined variable: Think c52881e8e0eb5f2f3b18504de7b757ee.php 第 84 行.
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | NOTIC: [8] Undefined variable: Think c52881e8e0eb5f2f3b18504de7b757ee.php 第 85 行.
[ 2013-09-16T22:42:37+08:00 ] /UserManage/index | NOTIC: [8] Undefined variable: Think c52881e8e0eb5f2f3b18504de7b757ee.php 第 87 行.
