[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ route_check ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run CheckRoute Behavior [ RunTime:0.000148s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ route_check ] --END-- [ RunTime:0.000231s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000089s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run CheckLang Behavior [ RunTime:0.000699s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000882s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run Login Behavior [ RunTime:0.000244s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000307s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined index: date ConfigAction.class.php 第 59 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_template ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run LocationTemplate Behavior [ RunTime:0.000939s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_template ] --END-- [ RunTime:0.001012s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_parse ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined offset: 1 ThinkTemplate.class.php 第 536 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: selectProductName 40ac92af4be817f27255ae7c27f29b27.php 第 79 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 83 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 84 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 85 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 87 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 88 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 89 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 90 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 91 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 92 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 93 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 93 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 95 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 95 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 96 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 97 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 98 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 99 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: Think 40ac92af4be817f27255ae7c27f29b27.php 第 100 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: date_value 40ac92af4be817f27255ae7c27f29b27.php 第 113 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | NOTIC: [8] Undefined variable: pagination 40ac92af4be817f27255ae7c27f29b27.php 第 158 行.
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run ParseTemplate Behavior [ RunTime:0.018828s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018891s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_filter ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run ContentReplace Behavior [ RunTime:0.000266s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run TokenBuild Behavior [ RunTime:0.000136s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000052s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run ShowRuntime Behavior [ RunTime:0.000102s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000687s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_end ] --START--
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Run ShowPageTrace Behavior [ RunTime:0.000065s ]
[ 2013-09-21T22:31:36+08:00 ] /Config/poplist | INFO: Tag[ view_end ] --END-- [ RunTime:0.000109s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ route_check ] --START--
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Run CheckRoute Behavior [ RunTime:0.000857s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000939s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000435s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Run CheckLang Behavior [ RunTime:0.003146s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003670s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Run Login Behavior [ RunTime:0.001977s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ action_begin ] --END-- [ RunTime:0.002039s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | SQL: SHOW COLUMNS FROM `std_pop` [ RunTime:0.000880s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | SQL: SELECT COUNT(*) AS tp_count FROM `std_pop` WHERE 1  LIMIT 1   [ RunTime:0.000283s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | SQL: SELECT * FROM `std_pop` WHERE 1  ORDER BY id desc LIMIT 0,20   [ RunTime:0.000307s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ view_template ] --START--
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000910s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000949s ]
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | INFO: Tag[ view_parse ] --START--
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined offset: 1 ThinkTemplate.class.php 第 536 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: selectProductName c0b8c0fc882b778550dabbc9dfd1d849.php 第 79 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 83 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 84 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 85 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 87 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 88 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 89 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 90 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 91 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 92 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 93 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 95 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 96 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 97 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 98 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 99 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 100 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 150 行.
[ 2013-09-21T22:31:50+08:00 ] /StdPop/index | NOTIC: [8] Undefined index: locale c0b8c0fc882b778550dabbc9dfd1d849.php 第 152 行.
