[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.006066s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.006134s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004051s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.011044s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015157s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run Login Behavior [ RunTime:0.028011s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ action_begin ] --END-- [ RunTime:0.028090s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002250s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002329s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: selectProductName 948b69b7e74262b0af4cc87e8ce85c98.php 第 79 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 83 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 84 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 85 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 87 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 88 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 89 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 90 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 91 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 92 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 94 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 95 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 96 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 97 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 98 行.
[ 2013-09-04T11:33:54+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 99 行.
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.054281s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.054356s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000941s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000963s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000851s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001064s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003970s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001067s ]
[ 2013-09-04T11:33:54+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001107s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ route_check ] --START--
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run CheckRoute Behavior [ RunTime:0.000332s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ route_check ] --END-- [ RunTime:0.000387s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ app_begin ] --START--
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000211s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run CheckLang Behavior [ RunTime:0.001092s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001352s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ action_begin ] --START--
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run Login Behavior [ RunTime:0.001062s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001104s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.077519s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.000998s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ view_template ] --START--
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run LocationTemplate Behavior [ RunTime:0.002493s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ view_template ] --END-- [ RunTime:0.002567s ]
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Tag[ view_parse ] --START--
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: selectProductName f8e4492fb8dfce0f5178573da05b5b58.php 第 79 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 83 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 83 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 84 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 84 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 85 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 85 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 87 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 88 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 89 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 90 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 91 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 92 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 94 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 95 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 96 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 97 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 98 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | NOTIC: [8] Undefined variable: Think f8e4492fb8dfce0f5178573da05b5b58.php 第 99 行.
[ 2013-09-04T11:33:56+08:00 ] /User/view | INFO: Run ParseTemplate Behavior [ RunTime:0.023444s ]
