[ 2013-09-21T16:33:15+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.010452s ]
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.010509s ]
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001606s ]
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.041387s ]
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.043100s ]
[ 2013-09-21T16:33:15+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T16:33:15+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-21T16:33:15+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000096s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000176s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000092s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000793s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000980s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000170s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000235s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003187s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003232s ]
[ 2013-09-21T16:33:15+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.235461s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.235519s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.001663s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.002250s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001672s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001548s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007294s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001662s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001709s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000065s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000130s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000063s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.000198s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000365s ]
[ 2013-09-21T16:33:16+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T16:33:16+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-21T16:33:16+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000102s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000210s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000081s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000221s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000367s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000183s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000226s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000067s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000105s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009103s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009156s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000086s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.000097s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000066s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000348s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000045s ]
[ 2013-09-21T16:33:16+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000457s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000507s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000246s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.001577s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001872s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000816s ]
[ 2013-09-21T16:33:17+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000848s ]
[ 2013-09-21T16:33:18+08:00 ] /User/login | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.089755s ]
[ 2013-09-21T16:33:18+08:00 ] /User/login | SQL: SELECT * FROM `user` WHERE name='elex' and password='93725b9fc52918f65c42dd16492d7d98' LIMIT 1   [ RunTime:0.000590s ]
[ 2013-09-21T16:33:18+08:00 ] /User/login | SQL: UPDATE `user` SET `name`='elex',`password`='93725b9fc52918f65c42dd16492d7d98',`email`='zhangpeng@elex-tech.com',`last_login`='2013-09-21 16:33:18',`is_elex`='1',`is_admin`='1',`status`='1',`privilege`='',`desc`='总管理员',`add_user_id`='0',`add_time`='0000-00-00 00:00:00' WHERE ( `id` = '1' ) [ RunTime:0.030089s ]
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000055s ]
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000109s ]
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000049s ]
[ 2013-09-21T16:33:18+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.000427s ]
